Desired=Unknown/Install/Remove/Purge/Hold
| Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend
|/ Err?=(none)/Reinst-required (Status,Err: uppercase=bad)
||/ Name                                     Version                              Architecture Description
+++-========================================-====================================-============-===========================================================================================================================================================================================================================================================
ii  1password                                8.12.32                              amd64        
ii  cuda-toolkit-13-1-config-common          13.1.80-1                            all          Common config package for CUDA Toolkit 13.1.
rc  cuda-toolkit-13-2-config-common          13.2.51-1                            all          Common config package for CUDA Toolkit 13.2.
ii  cuda-toolkit-13-config-common            13.3.29-1                            all          Common config package for CUDA Toolkit 13.
ii  cuda-toolkit-config-common               13.3.29-1                            all          Common config package for CUDA Toolkit.
ii  cuda-tools-13-1                          13.1.2-1                             amd64        CUDA Tools meta-package
ii  cuda-visual-tools-13-1                   13.1.2-1                             amd64        CUDA visual tools
rc  cuda-visual-tools-13-2                   13.2.0-1                             amd64        CUDA visual tools
ii  cups                                     2.4.10-3+deb13u2                     amd64        Common UNIX Printing System(tm) - PPD/driver support, web interface
ii  cups-browsed                             1.28.17-6+deb13u1                    amd64        OpenPrinting CUPS Filters - cups-browsed
ii  cups-client                              2.4.10-3+deb13u2                     amd64        Common UNIX Printing System(tm) - client programs (SysV)
ii  cups-common                              2.4.10-3+deb13u2                     all          Common UNIX Printing System(tm) - common files
ii  cups-core-drivers                        2.4.10-3+deb13u2                     amd64        Common UNIX Printing System(tm) - driverless printing
ii  cups-daemon                              2.4.10-3+deb13u2                     amd64        Common UNIX Printing System(tm) - daemon
ii  cups-filters                             1.28.17-6+deb13u1                    amd64        OpenPrinting CUPS Filters - Main Package
ii  cups-filters-core-drivers                1.28.17-6+deb13u1                    amd64        OpenPrinting CUPS Filters - Driverless printing
ii  cups-ipp-utils                           2.4.10-3+deb13u2                     amd64        Common UNIX Printing System(tm) - IPP developer/admin utilities
ii  cups-pk-helper                           0.2.6-2.1                            amd64        PolicyKit helper to configure cups with fine-grained privileges
ii  cups-ppdc                                2.4.10-3+deb13u2                     amd64        Common UNIX Printing System(tm) - PPD manipulation utilities
ii  cups-server-common                       2.4.10-3+deb13u2                     all          Common UNIX Printing System(tm) - server common files
ii  curl                                     8.14.1-2+deb13u4                     amd64        command line tool for transferring data with URL syntax
ii  d-feet                                   0.3.16-4                             all          D-Bus object browser, viewer and debugger
ii  dash                                     0.5.12-12                            amd64        POSIX-compliant shell
ii  dblatex                                  0.3.12py3-5                          all          Produces DVI, PostScript, PDF documents from DocBook sources
ii  dblatex-doc                              0.3.12py3-5                          all          Documentation for dblatex
ii  dbus                                     1.16.2-2                             amd64        simple interprocess messaging system (system message bus)
ii  dbus-bin                                 1.16.2-2                             amd64        simple interprocess messaging system (command line utilities)
ii  dbus-daemon                              1.16.2-2                             amd64        simple interprocess messaging system (reference message bus)
ii  dbus-session-bus-common                  1.16.2-2                             all          simple interprocess messaging system (session bus configuration)
ii  dbus-system-bus-common                   1.16.2-2                             all          simple interprocess messaging system (system bus configuration)
ii  dbus-user-session                        1.16.2-2                             amd64        simple interprocess messaging system (systemd --user integration)
ii  dconf-gsettings-backend:amd64            0.40.0-5                             amd64        simple configuration storage system - GSettings back-end
ii  dconf-service                            0.40.0-5                             amd64        simple configuration storage system - D-Bus service
ii  dctrl-tools                              2.24-3+b1                            amd64        Command-line tools to process Debian package information
ii  debconf                                  1.5.91                               all          Debian configuration management system
ii  debconf-i18n                             1.5.91                               all          full internationalization support for debconf
ii  debhelper                                13.24.2                              all          helper programs for debian/rules
